2020/1/1,2,31
2020/2/1,5,29
2020/3/1,6,31
2020/4/1,2,30
2020/5/1,4,31
2020/6/1,0,30
2020/7/1,2,31
2020/8/1,5,31
2020/9/1,1,30
2020/10/1,3,31
2020/11/1,6,30
2020/12/1,1,31
2021/1/1,4,31
2021/2/1,0,28
2021/3/1,0,31
2021/4/1,3,30
2021/5/1,5,31
2021/6/1,1,30
2021/7/1,3,31
2021/8/1,6,31
2021/9/1,2,30
2021/10/1,4,31
2021/11/1,0,30
2021/12/1,2,31
2022/1/1,5,31
2022/2/1,1,28
2022/3/1,1,31
2022/4/1,4,30
2022/5/1,6,31
2022/6/1,2,30
2022/7/1,4,31
2022/8/1,0,31
2022/9/1,3,30
2022/10/1,5,31
2022/11/1,1,30
2022/12/1,3,31
2023/1/1,6,31
2023/2/1,2,28
2023/3/1,2,31
2023/4/1,5,30
2023/5/1,0,31
2023/6/1,3,30
2023/7/1,5,31
2023/8/1,1,31
2023/9/1,4,30
2023/10/1,6,31
2023/11/1,2,30
2023/12/1,4,31
2024/1/1,0,31
2024/2/1,3,29
2024/3/1,4,31
2024/4/1,0,30
2024/5/1,2,31
2024/6/1,5,30
2024/7/1,0,31
2024/8/1,3,31
2024/9/1,6,30
2024/10/1,1,31
2024/11/1,4,30
2024/12/1,6,31
2025/1/1,2,31
2025/2/1,5,28
2025/3/1,5,31
2025/4/1,1,30
2025/5/1,3,31
2025/6/1,6,30
2025/7/1,1,31
2025/8/1,4,31
2025/9/1,0,30
2025/10/1,2,31
2025/11/1,5,30
2025/12/1,0,31
2026/1/1,3,31
2026/2/1,6,28
2026/3/1,6,31
2026/4/1,2,30
2026/5/1,4,31
2026/6/1,0,30
2026/7/1,2,31
2026/8/1,5,31
2026/9/1,1,30
2026/10/1,3,31
2026/11/1,6,30
2026/12/1,1,31
2027/1/1,4,31
2027/2/1,0,28
2027/3/1,0,31
2027/4/1,3,30
2027/5/1,5,31
2027/6/1,1,30
2027/7/1,3,31
2027/8/1,6,31
